Log_ID,Project_ID,Equipment_Type,Equipment_ID,Installation_Date,Last_Maintenance_Date,Next_Scheduled_Maintenance_Date,Runtime_Hours,Failure_Risk_Score,Sensors_Anomaly_Count,Maintenance_Type,Outcome,Notes
MAINT001,OUT003,Wind Turbine Rotor,WT-NCS-001,2023-02-10,2025-06-15,2026-06-15,12500,0.18,2,Preventive,No issue,"Offshore floating rotor inspected"
MAINT002,OUT004,Solar Inverter,SI-BRA-045,2024-01-20,2025-04-30,2025-10-30,5700,0.25,5,Condition-based,Minor repair,"Brazilian solar field inverter anomaly count high"
MAINT003,OUT001,Pump (Oil Field),P-NOR-A23,2019-11-05,2025-07-01,2025-10-01,30400,0.45,12,Corrective,Major overhaul,"High vibration detected, replaced bearing"
MAINT004,OUT002,Gas Compressor,C-NOR-G12,2015-04-18,2024-12-01,2025-12-01,48000,0.60,18,Preventive,No issue,"Critical compressor in gas field"
MAINT005,OUT005,Solar Panel String,SP-POL-S10,2025-03-01,2025-08-01,2026-02-01,1200,0.05,0,Preventive,No issue,"New solar plant phase 1"
MAINT006,OUT006,Gas Turbine,GT-NCS-034,2022-05-12,2025-05-20,2025-11-20,15000,0.30,4,Condition-based,Minor repair,"Gas hub turbine small rotor crack"
MAINT007,OUT007,Oil Pumping Unit,OP-UK-041,2017-09-10,2025-03-15,2025-09-15,40000,0.55,9,Corrective,Major overhaul,"Mature UK oil field, unit replaced"
MAINT008,OUT008,Offshore Wind Turbine,OWT-USA-022,2024-11-02,2025-06-10,2026-06-10,8000,0.20,3,Preventive,No issue,"US offshore wind under construction turbine pre-commission check"
MAINT009,OUT009,Solar Inverter,SI-IND-033,2023-07-18,2025-05-01,2025-11-01,9000,0.22,6,Condition-based,Minor repair,"India solar cluster inverter anomaly"
MAINT010,OUT010,Battery Inverter,BI-AUS-017,2025-01-15,2025-07-01,2025-12-01,2000,0.10,1,Preventive,No issue,"Australia battery-storage park"
MAINT011,OUT011,Shale Gas Compressor,SGC-CAN-008,2018-02-23,2025-04-12,2025-10-12,32000,0.48,11,Corrective,Major overhaul,"Canada shale gas compressor bearing wear"
MAINT012,OUT012,Onshore Wind Turbine,OWT-BRA-029,2024-03-30,2025-05-20,2025-11-20,11000,0.27,5,Condition-based,Minor repair,"Brazil onshore wind turbine gearbox sensor anomaly"
MAINT013,OUT013,Oil Field Pump,OP-NOR-112,2020-01-10,2025-02-25,2025-08-25,26000,0.40,8,Preventive,No issue,"Hydro-carbon rich oil field Norway pump check"
MAINT014,OUT014,Solar Inverter,SI-ESP-054,2024-09-05,2025-06-30,2025-12-30,7000,0.21,2,Preventive,No issue,"Solar park Spain inverter health check"
MAINT015,OUT015,Wind Turbine,WT-POL-010,2025-01-12,2025-08-01,2026-02-01,3000,0.08,0,Preventive,No issue,"Wind Park Poland pipeline phase turbine"
MAINT016,OUT016,Solar Panel String,SP-ARG-004,2023-11-15,2025-06-05,2025-12-05,14000,0.29,6,Condition-based,Minor repair,"Argentina solar cluster panel string anomaly"
MAINT017,OUT017,Wind Turbine,WT-USA-MW01,2022-06-27,2025-05-10,2025-11-10,16000,0.33,7,Corrective,Major overhaul,"US Midwest wind farm turbine hub replacement"
MAINT018,OUT018,Oil Extraction Beam,EB-NOR-019,2021-03-14,2025-02-20,2025-08-20,28000,0.37,10,Preventive,No issue,"Deep-water oil field Norway extraction beam maintenance"
MAINT019,OUT019,Gas Compressor,G-UK-GB12,2016-08-07,2024-11-30,2025-11-30,50000,0.65,15,Corrective,Failure event,"UK offshore gas compressor failure"
