Project_ID,Site_Name,Country,Site_Type,Capacity_MW,Annual_Output_GWh,Ownership_%,Year_Commissioned,Status,CO2_Intensity_kg_per_MWh,Notes
OUT001,Johan Sverdrup Oil Field,Norway,Oil,1200,7000,50,2019,Operational,300,"High-grade field on NCS"
OUT002,Troll Gas Field,Norway,Gas,800,4800,65,1995,Operational,250,"Long-life offshore gas asset"
OUT003,Hywind Tampen Floating Wind,Norway,Renewables – Offshore Wind,88,300,100,2023,Operational,5,"Floating wind farm supplying platforms"
OUT004,Mendubim Solar Plant,Brazil,Renewables – Solar,531,1100,30,2024,Operational,15,"Onshore solar in Brazil"
OUT005,Poland Solar Portfolio Phase 1,Poland,Renewables – Solar,200,400,100,2025,Under Construction,15,"Pipeline solar projects"
OUT006,Arctic Gas Hub,Norway,Gas,600,3600,40,2022,Operational,260,"New export-oriented gas hub"
OUT007,UK North Sea Oil Field (Alpha),UK,Oil,650,3900,80,2017,Operational,310,"UK North Sea mature oil field"
OUT008,US Gulf Offshore Wind Farm,USA,Renewables – Offshore Wind,300,900,50,2026,Under Construction,6,"Under construction US offshore wind"
OUT009,India Onshore Solar Cluster,India,Renewables – Solar,150,350,70,2023,Operational,14,"Large onshore solar in India"
OUT010,Australia Battery-Storage Park,Australia,Renewables – Solar,100,220,100,2025,Under Construction,0,"Paired with solar + battery storage"
OUT011,Canada Shale Gas Field,Canada,Gas,450,2700,60,2018,Operational,240,"Shale gas field Canada"
OUT012,Brazil Onshore Wind Farm,Brazil,Renewables – Onshore Wind,120,280,50,2024,Operational,16,"Onshore wind Brazil"
OUT013,Norway Hydro Carbon Rich Field,Norway,Oil,900,5400,55,2020,Operational,290,"Hydro-carbon rich field Norway"
OUT014,Spain Solar Park,Spain,80,180,100,2024,Operational,13,"Solar park Spain"
OUT015,Poland Onshore Wind Park,Poland,Renewables – Onshore Wind,110,260,100,2025,Under Construction,17,"Wind park Poland pipeline"
OUT016,Argentina Solar Cluster,Argentina,Renewables – Solar,95,210,60,2023,Operational,14,"Solar in Argentina emerging market"
OUT017,US Onshore Wind Farm Midwest,USA,Renewables – Onshore Wind,140,330,70,2022,Operational,18,"US Midwest wind farm"
OUT018,Norway Deep-water Oil Field,Norway,Oil,1400,8400,45,2021,Operational,320,"Deep-water oil field Norway"
OUT019,UK Gas Field (Beta),UK,Gas,500,3000,75,2016,Operational,255,"UK offshore gas field"
